key,classname,name,status,time,message
apps.voicemail::check_voicemail_options_record_busy,apps.voicemail,check_voicemail_options_record_busy,pass,23.20,
apps.voicemail::check_voicemail_options_record_name,apps.voicemail,check_voicemail_options_record_name,pass,22.74,
apps.voicemail::check_voicemail_options_record_temp,apps.voicemail,check_voicemail_options_record_temp,pass,27.27,
apps.voicemail::check_voicemail_options_record_unavail,apps.voicemail,check_voicemail_options_record_unavail,pass,23.90,
apps.voicemail::check_voicemail_reply,apps.voicemail,check_voicemail_reply,pass,38.96,
apps.voicemail::check_voicemail_while_leaving_msg,apps.voicemail,check_voicemail_while_leaving_msg,skip,0.00,Leave voicemail has timing problems.  This needs to be fixed to be consistently reliable.
apps.voicemail::func_vmcount,apps.voicemail,func_vmcount,pass,2.97,
apps.voicemail::leave_voicemail_contexts,apps.voicemail,leave_voicemail_contexts,pass,97.94,
apps.voicemail::leave_voicemail_external_notification,apps.voicemail,leave_voicemail_external_notification,skip,0.00,"External files not being created in tmp location during test execution, needs debugging"
apps.voicemail::leave_voicemail_forwarding,apps.voicemail,leave_voicemail_forwarding,pass,37.14,
apps.voicemail::leave_voicemail_forwarding_auto_urgent,apps.voicemail,leave_voicemail_forwarding_auto_urgent,pass,20.66,
apps.voicemail::leave_voicemail_nominal,apps.voicemail,leave_voicemail_nominal,pass,80.51,
apps.voicemail::leave_voicemail_priority,apps.voicemail,leave_voicemail_priority,pass,37.08,
apps.voicemail::play_message,apps.voicemail,play_message,pass,6.45,
apps::channel_redirect,apps,channel_redirect,pass,7.58,
apps::mf,apps,mf,pass,6.54,
apps::mixmonitor,apps,mixmonitor,pass,15.73,
apps::mixmonitor_audiohook_inherit,apps,mixmonitor_audiohook_inherit,pass,29.57,
apps::mixmonitor_duplex,apps,mixmonitor_duplex,pass,8.15,
apps::mixmonitor_func,apps,mixmonitor_func,pass,3.95,
apps::mixmonitor_rxtx,apps,mixmonitor_rxtx,pass,26.06,
apps::originate,apps,originate,pass,5.55,
apps::read,apps,read,pass,11.24,
apps::record,apps,record,pass,4.79,
apps::say_interrupt,apps,say_interrupt,skip,0.00,ASTERISK-30203: Hangs forever
apps::senddtmf,apps,senddtmf,skip,0.00,SendDTMF always fails if you dont tell it to answer the channel. see GitHub #818
apps::sf,apps,sf,pass,17.28,
apps::signal,apps,signal,pass,10.15,
apps::waitdigit,apps,waitdigit,pass,6.18,
asyncagi::asyncagi_break,asyncagi,asyncagi_break,pass,19.66,
bridge.parkcall_timeout::comebacktoorigin_no,bridge.parkcall_timeout,comebacktoorigin_no,skip,0.00,"requires further rework for pjsip, see ASTERISK-30292"
bridge.parkcall_timeout::comebacktoorigin_yes,bridge.parkcall_timeout,comebacktoorigin_yes,skip,0.00,"requires further rework for pjsip, see ASTERISK-30292"
bridge::atxfer_fail_blonde,bridge,atxfer_fail_blonde,fail,79.91,Running tests/bridge/atxfer_fail_blonde ...
bridge::atxfer_nominal,bridge,atxfer_nominal,fail,80.98,Running tests/bridge/atxfer_nominal ...
bridge::atxfer_retries,bridge,atxfer_retries,pass,24.92,
bridge::atxfer_setup,bridge,atxfer_setup,fail,79.90,Running tests/bridge/atxfer_setup ...
bridge::atxfer_threeway_nominal,bridge,atxfer_threeway_nominal,fail,80.96,Running tests/bridge/atxfer_threeway_nominal ...
bridge::automixmon,bridge,automixmon,fail,19.71,Running tests/bridge/automixmon ...
bridge::automixmon_bridgefeatures,bridge,automixmon_bridgefeatures,fail,19.72,Running tests/bridge/automixmon_bridgefeatures ...
bridge::blindxfer_nominal,bridge,blindxfer_nominal,fail,80.94,Running tests/bridge/blindxfer_nominal ...
bridge::blindxfer_setup,bridge,blindxfer_setup,fail,79.86,Running tests/bridge/blindxfer_setup ...
bridge::blonde_nominal,bridge,blonde_nominal,fail,80.95,Running tests/bridge/blonde_nominal ...
bridge::bridge_action,bridge,bridge_action,pass,3.99,
bridge::connected_line_update,bridge,connected_line_update,skip,0.00,"requires further rework for pjsip, see ASTERISK-30292"
bridge::dial_LS_options,bridge,dial_LS_options,pass,55.51,
bridge::disconnect,bridge,disconnect,fail,79.90,Running tests/bridge/disconnect ...
bridge::feature_timeout_hangup,bridge,feature_timeout_hangup,pass,5.19,
bridge::hold_redirect,bridge,hold_redirect,pass,8.11,
bridge::parkcall,bridge,parkcall,fail,85.66,Running tests/bridge/parkcall ...
bridge::parkcall_blindxfer,bridge,parkcall_blindxfer,fail,79.88,Running tests/bridge/parkcall_blindxfer ...
bridge::parkcall_bridgefeatures,bridge,parkcall_bridgefeatures,fail,85.71,Running tests/bridge/parkcall_bridgefeatures ...
bridge::simple_bridge,bridge,simple_bridge,fail,15.69,Running tests/bridge/simple_bridge ...
bridge::transfer_capabilities,bridge,transfer_capabilities,fail,79.92,Running tests/bridge/transfer_capabilities ...
bridge::transfer_capabilities_bridgefeatures,bridge,transfer_capabilities_bridgefeatures,fail,79.88,Running tests/bridge/transfer_capabilities_bridgefeatures ...
bridge::transfer_failure,bridge,transfer_failure,fail,79.88,Running tests/bridge/transfer_failure ...
cdr.cdr_manipulation::cdr_fork_end_time,cdr.cdr_manipulation,cdr_fork_end_time,pass,12.54,
cdr.cdr_manipulation::cdr_ignore_dial_changes,cdr.cdr_manipulation,cdr_ignore_dial_changes,pass,4.78,
cdr.cdr_manipulation::cdr_ignore_state_changes,cdr.cdr_manipulation,cdr_ignore_state_changes,pass,6.48,
cdr.cdr_manipulation::cdr_prop_disable,cdr.cdr_manipulation,cdr_prop_disable,pass,5.02,
cdr.cdr_manipulation::console_fork_after_busy_forward,cdr.cdr_manipulation,console_fork_after_busy_forward,pass,7.48,
cdr.cdr_manipulation::console_fork_before_dial,cdr.cdr_manipulation,console_fork_before_dial,pass,8.97,
cdr.cdr_manipulation::func_cdr,cdr.cdr_manipulation,func_cdr,pass,5.74,
cdr.cdr_manipulation::nocdr,cdr.cdr_manipulation,nocdr,fail,3.98,Running tests/cdr/cdr_manipulation/nocdr ...
cdr.cdr_properties::blind_transfer_accountcode,cdr.cdr_properties,blind_transfer_accountcode,skip,0.00,"requires further rework for pjsip, see ASTERISK-30292"
cdr.cdr_properties::cdr_accountcode,cdr.cdr_properties,cdr_accountcode,pass,5.48,
cdr.cdr_properties::cdr_userfield,cdr.cdr_properties,cdr_userfield,pass,5.53,
cdr::app_dial_G_flag,cdr,app_dial_G_flag,skip,0.00,Skip while failures are debugged
cdr::app_queue,cdr,app_queue,skip,0.00,Skip while failures are debugged
cdr::batch_cdrs,cdr,batch_cdrs,pass,8.36,
cdr::cdr_bridge_multi,cdr,cdr_bridge_multi,pass,4.14,
cdr::cdr_dial_subroutines,cdr,cdr_dial_subroutines,pass,6.94,
cdr::cdr_newcdrcolumns_yes,cdr,cdr_newcdrcolumns_yes,pass,5.40,
cdr::cdr_originate_sip_congestion_log,cdr,cdr_originate_sip_congestion_log,pass,4.93,
cdr::cdr_unanswered_yes,cdr,cdr_unanswered_yes,pass,4.93,
cdr::console_dial_sip_answer,cdr,console_dial_sip_answer,pass,5.49,
cdr::console_dial_sip_busy,cdr,console_dial_sip_busy,pass,4.97,
cdr::console_dial_sip_congestion,cdr,console_dial_sip_congestion,pass,4.95,
cdr::console_dial_sip_transfer,cdr,console_dial_sip_transfer,fail,5.22,Running tests/cdr/console_dial_sip_transfer ...
cdr::originate_cdr_disposition,cdr,originate_cdr_disposition,skip,0.00,"requires further rework for pjsip, see ASTERISK-30292"
cdr::sqlite3,cdr,sqlite3,pass,7.97,
channels.iax2.authed_calls.nominal::md5,channels.iax2.authed_calls.nominal,md5,pass,5.39,
channels.iax2.authed_calls.nominal::plain,channels.iax2.authed_calls.nominal,plain,pass,5.42,
channels.iax2.authed_calls.off_nominal::md5,channels.iax2.authed_calls.off_nominal,md5,pass,4.01,
channels.iax2.authed_calls.off_nominal::plain,channels.iax2.authed_calls.off_nominal,plain,pass,4.04,
channels.iax2.encrypted_calls::md5,channels.iax2.encrypted_calls,md5,pass,5.39,
channels.iax2.encrypted_calls::rsa,channels.iax2.encrypted_calls,rsa,pass,5.37,
channels.iax2.encrypted_calls::rsa_dynamic,channels.iax2.encrypted_calls,rsa_dynamic,pass,5.42,
channels.iax2::acl_call,channels.iax2,acl_call,pass,5.16,
